Package,OpenSSF_SS,OpenSSF_RS,Custom_SC,Custom_RS,Snyk_SC,Snyk_RS,Id,Label,Degree,Pageranks,Eigencentrality,In_reach,Avg_RS
farama-notifications,0,10,0.671641247,6.71641247,62,3.8,7690,farama-notifications-0.0.4,1,4.40E-05,0.00052,1,6.838804157
pandoc,0,10,0.673691053,6.73691053,62,3.8,5699,pandoc-2.3,6,5.50E-05,0.00183,3,6.845636843
python-gettext,0,10,0.810067186,8.10067186,62,3.8,2240,python-gettext-5.0,1,4.10E-05,0.00064,1,7.300223953
brotlipy,4.24,5.76,0.75907948,7.5907948,63,3.7,1846,brotlipy-0.7.0,9,7.10E-05,0.00336,6,5.683598267
libhoney,4.19,5.81,0.75014457,7.5014457,63,3.7,2139,libhoney-2.3.0,4,7.70E-05,0.00096,29,5.6704819
autocommand,3.86,6.14,0.666641701,6.66641701,63,3.7,3090,autocommand-2.2.2,2,6.60E-05,0.001,1,5.502139003
jmp,3.38,6.62,0.787172619,7.87172619,63,3.7,11044,jmp-0.0.4,3,5.30E-05,0.00096,2,6.06390873
pyluach,2.95,7.05,0.819074692,8.19074692,63,3.7,3136,pyluach-2.2.0,1,4.40E-05,0.0005,1,6.313582307
ogb,2.54,7.46,0.626295379,6.26295379,63,3.7,6309,ogb-1.3.3,9,3.70E-05,0.00046,99,5.807651263
wtforms-components,2.27,7.73,0.688540628,6.88540628,63,3.7,7400,wtforms-components-0.10.5,12,4.70E-05,0.00146,15,6.105135427
face,2.24,7.76,0.67497228,6.7497228,63,3.7,2552,face-20.1.1,5,5.50E-05,0.00144,3,6.0699076
asgi-lifespan,2.05,7.95,0.657468898,6.57468898,63,3.7,7600,asgi-lifespan-2.1.0,2,3.60E-05,0.0005,2,6.074896327
easygui,2.05,7.95,0.606385877,6.06385877,63,3.7,1980,easygui-0.98.3,2,5.60E-05,0.00091,1,5.90461959
jsonformatter,1.97,8.03,0.671641247,6.71641247,63,3.7,13260,jsonformatter-0.3.2,1,3.60E-05,0.00046,1,6.148804157
assertpy,1.97,8.03,0.7735796,7.735796,63,3.7,1508,assertpy-1.1,1,3.80E-05,0.00052,1,6.488598667
stomp-py,1.97,8.03,0.669763096,6.69763096,63,3.7,10416,stomp-py-6.0.0,2,4.10E-05,0.00046,2,6.142543653
cftime,0,10,0.734681268,7.34681268,63,3.7,1852,cftime-1.6.2,7,6.90E-05,0.002,5,7.015604227
phik,0,10,0.784103622,7.84103622,63,3.7,4579,phik-0.12.3,6,3.70E-05,0.00046,36,7.180345407
pydispatcher,0,10,0.684642318,6.84642318,63,3.7,1530,pydispatcher-2.0.7,5,7.00E-05,0.00246,1,6.848807727
