Package,OpenSSF_RS,Custom_SC,Custom_RS,Snyk_SC,Snyk_RS,Id,Label,Degree,Pageranks,Eigencentrality,In_reach,Avg_RS
dnspython,5.43,0.712805703,7.12805703,91,0.9,134,dnspython-2.3.0,27,0.001,0.01394,1,4.48601901
opentelemetry-api,5.43,0.540125436,5.40125436,100,0,3488,opentelemetry-api-1.17.0,14,0.00018,0.00532,6,3.61041812
opentelemetry-sdk,5.43,0.540153946,5.40153946,100,0,5269,opentelemetry-sdk-1.8.0,8,8.20E-05,0.00288,5,3.610513153
opentelemetry-proto,5.43,0.541015709,5.41015709,100,0,5273,opentelemetry-proto-1.8.0,3,4.90E-05,0.00096,2,3.613385697
opentelemetry-exporter-otlp-proto-http,5.43,0.542131325,5.42131325,100,0,5272,opentelemetry-exporter-otlp-proto-http-1.8.0,7,5.00E-05,0.00048,45,3.617104417
opentelemetry-exporter-otlp-proto-grpc,5.43,0.541781292,5.41781292,100,0,5271,opentelemetry-exporter-otlp-proto-grpc-1.8.0,7,5.00E-05,0.00048,19,3.61593764
opentelemetry-exporter-otlp,5.43,0.541198794,5.41198794,97,0.3,5253,opentelemetry-exporter-otlp-1.8.0,3,3.60E-05,0.00046,48,3.71399598
pydicom,5.43,0.711879052,7.11879052,88,1.2,849,pydicom-2.3.1,8,0.000136,0.0037,1,4.582930173
numcodecs,5.43,0.589445085,5.89445085,80,2,3063,numcodecs-0.11.0,9,6.70E-05,0.0029,4,4.441483617
aiocache,5.43,0.758638358,7.58638358,90,1,915,aiocache-0.12.0,2,6.30E-05,0.00094,1,4.67212786
opentelemetry-exporter-zipkin-json,5.43,0.541814944,5.41814944,93,0.7,5275,opentelemetry-exporter-zipkin-json-1.8.0,5,5.90E-05,0.00096,33,3.849383147
opentelemetry-exporter-zipkin-proto-http,5.43,0.541814944,5.41814944,93,0.7,5276,opentelemetry-exporter-zipkin-proto-http-1.8.0,6,5.00E-05,0.00048,35,3.849383147
opentelemetry-exporter-zipkin,5.43,0.541242085,5.41242085,84,1.6,5254,opentelemetry-exporter-zipkin-1.8.0,3,3.60E-05,0.00046,36,4.147473617
sqlparse,5.41,0.638047486,6.38047486,93,0.7,321,sqlparse-0.4.3,18,0.000995,0.01112,1,4.16349162
rq,5.41,0.683124303,6.83124303,88,1.2,4061,rq-1.13.0,5,6.30E-05,0.00137,5,4.480414343
fastai,5.41,0.584740797,5.84740797,80,2,5121,fastai-2.7.9,16,3.90E-05,0.00046,165,4.41913599
google-api-core,5.35,0.720813266,7.20813266,94,0.6,611,google-api-core-2.11.0,198,0.001807,0.08988,49,4.38604422
pyjwt,5.35,0.689097695,6.89097695,94,0.6,638,pyjwt-2.6.0,79,0.000814,0.03726,8,4.28032565
babel,5.35,0.815605004,8.15605004,97,0.3,151,babel-2.12.1,35,0.000848,0.02388,1,4.60201668
kombu,5.35,0.671641247,6.71641247,91,0.9,3526,kombu-5.2.4,6,5.20E-05,0.00207,3,4.32213749
