,Id,Label,Degree,Pageranks,Eigencentrality,FinalRiskScore,Category
556,556,pynacl-1.5.0,14,0.000319,0.00762,0.717755926,M
1055,1055,pyperclip-1.8.2,30,0.000319,0.01412,0.755261211,H
166,166,py-1.11.0,22,0.000318,0.01118,0.681673226,M
227,227,cssselect-1.2.0,23,0.000317,0.01125,0.875578066,H
1207,1207,text-unidecode-1.3,7,0.000317,0.0044,0.725673181,M
326,326,requests-2.26.0,28,0.000316,0.01018,0.479586308,L
567,567,botocore-1.29.114,20,0.000316,0.00879,0.294020913,L
264,264,statsmodels-0.13.5,68,0.000315,0.02691,0.518383165,M
1018,1018,djangorestframework-3.14.0,27,0.000314,0.01076,0.595628735,M
390,390,tornado-6.3,26,0.000313,0.0149,0.551278058,M
796,796,deprecation-2.1.0,22,0.000311,0.00959,0.904814892,H
75,75,multidict-5.2.0,6,0.00031,0.00912,0.609892488,M
1673,1673,webob-1.8.7,22,0.000309,0.01093,0.632476384,M
1196,1196,twisted-22.10.0,42,0.000308,0.01502,0.552022574,M
932,932,zope-event-4.6,18,0.000307,0.01129,0.681056551,M
534,534,asn1crypto-1.5.1,17,0.000306,0.00831,0.573668716,M
739,739,rdflib-6.3.2,21,0.000305,0.0092,0.68293017,M
571,571,botocore-1.29.115,18,0.000303,0.00772,0.294020913,L
300,300,nvidia-cublas-cu11-11.10.3.66,6,0.000302,0.00538,0.573668716,M
242,242,sklearn-0.0.post4,52,0.000299,0.02397,0.573668716,M
294,294,oauthlib-3.2.2,23,0.000299,0.01102,0.814313573,H
1474,1474,unidecode-1.3.6,28,0.000296,0.01302,0.742305746,M
6,6,contourpy-1.0.7,9,0.000294,0.016168,0.805287543,H
1284,1284,graphviz-0.20.1,21,0.000294,0.00984,0.756550078,H
154,154,cryptography-39.0.2,4,0.000292,0.00262,0.494391255,L
650,650,openpyxl-3.1.2,59,0.000291,0.02711,0.573668716,M
498,498,coverage-7.2.3,19,0.000289,0.00896,0.397446824,L
544,544,protobuf-4.21.12,5,0.000282,0.00788,0.573668716,M
382,382,rich-12.6.0,19,0.000274,0.00896,0.65949082,M
406,406,pyzmq-25.0.2,31,0.000273,0.01672,0.530916382,M
1547,1547,shapely-2.0.1,41,0.000271,0.01883,0.477426178,L
1404,1404,pycrypto-2.6.1,22,0.00027,0.01019,0.573668716,M
1804,1804,six-1.12.0,19,0.000268,0.00917,0.654854174,M
1015,1015,iniconfig-2.0.0,11,0.000267,0.00826,0.633863657,M
250,250,email-validator-2.0.0.post1,7,0.000265,0.00612,0.573668716,M
104,104,cytoolz-0.12.1,14,0.000262,0.00722,0.895231857,H
542,542,protobuf-3.20.2,3,0.000258,0.00688,0.573668716,M
1628,1628,loguru-0.7.0,31,0.000258,0.01451,0.744367707,M
872,872,pycares-4.3.0,3,0.000254,0.00135,0.707018823,M
251,251,email-validator-2.0.0,4,0.000253,0.00437,0.630894507,M
1203,1203,graphene-2.1.9,22,0.000253,0.00845,0.673737466,M
1333,1333,httpx-0.23.3,22,0.000253,0.00788,0.551984718,M
1034,1034,netifaces-0.11.0,27,0.000252,0.01358,0.615563685,M
543,543,grpcio-1.47.0,9,0.000251,0.00687,0.573668716,M
253,253,email-validator-1.3.1,8,0.00025,0.00632,0.630894507,M
254,254,python-dotenv-0.21.1,8,0.00025,0.0076,0.580229603,M
1678,1678,bottle-0.12.25,17,0.00025,0.00793,0.573668716,M
348,348,hydra-core-1.3.2,18,0.000249,0.00686,0.703524982,M
817,817,voluptuous-0.13.1,23,0.000249,0.0108,0.649135741,M
1308,1308,graphene-3.2.2,20,0.000249,0.00817,0.673737466,M
1382,1382,spacy-3.5.2,40,0.000246,0.0088,0.474787772,L
1870,1870,typing-inspect-0.8.0,16,0.000245,0.00696,0.692557797,M
900,900,protobuf-3.20.1,11,0.000244,0.00556,0.573668716,M
548,548,plotly-5.14.1,47,0.000243,0.02071,0.628840967,M
714,714,aiofiles-23.1.0,25,0.000243,0.01176,0.751449006,H
732,732,ecdsa-0.18.0,20,0.000243,0.00917,0.603893034,M
364,364,typer-0.7.0,34,0.000242,0.01452,0.675640048,M
1541,1541,pyproj-3.5.0,30,0.000242,0.01428,0.633420647,M
1184,1184,texttable-1.6.7,13,0.00024,0.00624,0.708822214,M
640,640,cryptography-36.0.2,5,0.000238,0.00357,0.494391255,L
1409,1409,gpxpy-1.5.0,16,0.000237,0.00736,0.734083011,M
1307,1307,graphene-django-3.0.0,23,0.000236,0.00782,0.676930227,M
1567,1567,trio-websocket-0.10.2,8,0.000235,0.00351,0.707302245,M
1871,1871,typing-extensions-3.10.0.2,18,0.000234,0.00894,0.658811077,M
989,989,rapidfuzz-2.15.1,4,0.000232,0.00192,0.6027596,M
926,926,colorlog-6.7.0,17,0.000231,0.00824,0.745257102,M
67,67,aiodns-3.0.0,9,0.000227,0.00892,0.75576147,H
370,370,prometheus-client-0.16.0,22,0.000227,0.01122,0.701921834,M
1545,1545,xarray-2023.4.0,48,0.000227,0.01892,0.550252534,M
449,449,ipykernel-6.22.0,37,0.000224,0.01227,0.533927788,M
1104,1104,datetime-5.1,24,0.000224,0.01012,0.760717927,H
1411,1411,einops-0.6.0,14,0.000224,0.00649,0.621801854,M
268,268,threadpoolctl-3.1.0,11,0.000223,0.01145,0.710270602,M
93,93,eth-utils-2.1.0,18,0.000222,0.00777,0.612692148,M
187,187,keyring-23.13.1,30,0.00022,0.01125,0.843216525,H
255,255,typing-extensions-4.4.0,3,0.00022,0.0047,0.658811077,M
765,765,pathlib-1.0.1,31,0.00022,0.01435,0.573668716,M
1746,1746,guillotina-6.4.2,34,0.00022,0.0069,0.689415171,M
117,117,jsonpointer-2.3,4,0.000219,0.00464,0.778733765,H
622,622,cachetools-4.1.1,2,0.000219,0.00277,0.775973642,H
1259,1259,google-cloud-core-2.3.2,19,0.000218,0.00794,0.74518312,M
1300,1300,blinker-1.6.2,19,0.000218,0.00951,0.904775473,H
1740,1740,blessed-1.20.0,14,0.000218,0.00591,0.755107973,H
1348,1348,cached-property-1.5.2,29,0.000217,0.01371,0.759226144,H
1636,1636,validators-0.20.0,26,0.000217,0.01179,0.670220531,M
1930,1930,zope-component-6.0,47,0.000217,0.02159,0.670919024,M
995,995,loguru-0.6.0,20,0.000216,0.00961,0.744367707,M
282,282,scipy-1.8.0,15,0.000215,0.01198,0.337577653,L
466,466,jupyter-core-5.3.0,26,0.000215,0.01466,0.583393962,M
729,729,orjson-3.8.10,28,0.000215,0.01371,0.56776913,M
70,70,attrs-19.1.0,6,0.000214,0.00791,0.827546126,H
793,793,pyqt5-qt5-5.15.2,5,0.000214,0.0033,0.573668716,M
76,76,multidict-4.7.6,8,0.000211,0.00497,0.609892488,M
550,550,tenacity-8.2.2,19,0.000211,0.00998,0.650759763,M
923,923,hyperframe-6.0.1,6,0.000211,0.00323,0.765127849,H
618,618,grpcio-status-1.53.0,11,0.000209,0.00799,0.573668716,M
1354,1354,docker-6.0.1,33,0.000209,0.01213,0.620656234,M
430,430,beautifulsoup4-4.9.3,10,0.000208,0.00561,0.573668716,M
988,988,levenshtein-0.20.9,3,0.000208,0.00117,0.739885675,M
578,578,pyarrow-11.0.0,37,0.000207,0.01706,0.534830208,M
799,799,jinja2-2.11.3,26,0.000207,0.01166,0.573668716,M
72,72,attrs-20.3.0,6,0.000206,0.00789,0.827546126,H
539,539,oauth2client-3.0.0,25,0.000206,0.00888,0.573668716,M
61,61,aiosignal-1.3.1,6,0.000205,0.00777,0.648895329,M
572,572,botocore-1.29.113,10,0.000204,0.00344,0.294020913,L
1020,1020,django-3.2.18,11,0.000203,0.00444,0.544936339,M
193,193,importlib-metadata-6.3.0,21,0.000202,0.01155,0.738331031,M
1931,1931,zope-i18nmessageid-6.0.1,20,0.000202,0.01181,0.573668716,M
216,216,inflection-0.5.1,18,0.000201,0.00864,0.770302658,H
171,171,mdit-py-plugins-0.3.5,4,0.0002,0.00175,0.659930941,M
206,206,pendulum-2.1.2,28,0.0002,0.01229,0.696941211,M
620,620,grpcio-status-1.47.0,11,0.0002,0.00693,0.573668716,M
984,984,python-levenshtein-0.20.9,12,0.0002,0.00543,0.830421152,H
71,71,yarl-1.8.1,7,0.000198,0.00764,0.580524187,M
1632,1632,humanize-4.6.0,25,0.000198,0.01176,0.581137313,M
91,91,eth-hash-0.5.1,11,0.000197,0.0049,0.627676632,M
579,579,zipp-3.1.0,2,0.000195,0.00151,0.685200734,M
680,680,keras-2.12.0,19,0.000194,0.00977,0.609034932,M
1258,1258,google-cloud-storage-2.8.0,27,0.000194,0.01072,0.710825813,M
169,169,mdurl-0.1.2,2,0.000193,0.00125,0.828002022,H
170,170,linkify-it-py-2.0.0,3,0.000193,0.00127,0.694979533,M
381,381,numpy-1.24.1,8,0.000192,0.0056,0.260893907,L
1976,1976,contextlib2-21.6.0,7,0.000191,0.0036,0.573668716,M
350,350,antlr4-python3-runtime-4.9.3,4,0.00019,0.00226,0.573668716,M
834,834,mako-1.2.4,22,0.00019,0.00995,0.724663404,M
1797,1797,pytest-5.0.1,18,0.00019,0.00436,0.456905797,L
74,74,yarl-1.1.1,4,0.000189,0.00602,0.580524187,M
383,383,shellingham-1.5.1,8,0.000189,0.00513,0.690978053,M
756,756,pygithub-1.58.1,23,0.000189,0.00875,0.519854653,M
619,619,grpcio-status-1.48.2,5,0.000188,0.00551,0.573668716,M
999,999,rfc3986-1.5.0,14,0.000188,0.00663,0.573668716,M
1926,1926,persistent-5.0,17,0.000188,0.00786,0.554681496,M
1322,1322,globus-sdk-3.19.0,14,0.000187,0.00514,0.757419614,H
92,92,eth-typing-3.3.0,9,0.000186,0.00503,0.631392849,M
114,114,pyrsistent-0.19.3,10,0.000186,0.00765,0.717490926,M
376,376,imageio-2.27.0,36,0.000186,0.01401,0.709105247,M
1064,1064,stevedore-5.0.0,25,0.000185,0.01329,0.573668716,M
312,312,filelock-3.12.0,10,0.000184,0.00889,0.60816995,M
1934,1934,zope-schema-7.0.1,27,0.000184,0.01331,0.663786203,M
213,213,gunicorn-20.1.0,26,0.000183,0.01172,0.643029065,M
