,Id,Label,Degree,Pageranks,Eigencentrality,Reachability,Log2_reach,R_Reachability,R_Log2_reach,RiskScore,Category,PR_Category,R_Category,R_Lo10_reach
6735,6735,uproot3-3.14.4,5,4.00E-05,0.00046,5,2.321928095,2,4.5,0.681146291,H,T,T,0.02
6749,6749,http-message-signatures-0.4.4,3,4.50E-05,0.00046,7,2.807354922,2,4.5,0.831674231,H,T,T,0.02
6752,6752,raven-3.1.16,1,5.00E-05,0.00046,1,0,2,4.5,0.645435096,H,T,T,0.02
6754,6754,copt-0.9.1,6,4.00E-05,0.00046,16,4,2,4.5,0.671641247,H,T,T,0.02
6760,6760,hapiplot-0.2.2,3,3.80E-05,0.00046,47,5.554588852,2,4.5,0.658698148,H,T,T,0.02
6763,6763,zninit-0.1.9,1,6.50E-05,0.00046,1,0,2,4.5,0.75830759,H,T,T,0.02
6765,6765,requests-f5auth-0.1.2,2,4.50E-05,0.00046,28,4.807354922,2,4.5,0.671641247,H,T,T,0.02
6767,6767,squarify-0.4.3,1,3.90E-05,0.00046,1,0,2,4.5,0.710041681,H,T,T,0.02
6769,6769,mysqlite3-mod-0.0.12,2,5.00E-05,0.00046,2,1,2,4.5,0.711052472,H,T,T,0.02
6773,6773,spacy-transformers-1.2.2,7,5.00E-05,0.00046,182,7.50779464,2,4.5,0.554498727,H,T,T,0.02
6781,6781,pyevtk-1.5.0,2,4.00E-05,0.00046,2,1,2,4.5,0.927845029,H,T,T,0.02
6787,6787,pyqtwebengine-5.12.1,2,3.70E-05,0.00046,3,1.584962501,2,4.5,0.671641247,H,T,T,0.02
6791,6791,pyinotify-0.9.3,1,6.50E-05,0.00046,1,0,2,4.5,0.64500788,H,T,T,0.02
6793,6793,readerwriterlock-1.0.9,2,6.50E-05,0.00046,2,1,2,4.5,0.675163289,H,T,T,0.02
6803,6803,hpbandster-0.7.4,8,4.20E-05,0.00046,33,5.044394119,2,4.5,0.788043127,H,T,T,0.02
6810,6810,pyabacus-1.2.0,2,4.00E-05,0.00046,2,1,2,4.5,0.675514539,H,T,T,0.02
6818,6818,pyserial-3.4,1,6.50E-05,0.00046,1,0,2,4.5,0.575906728,H,T,T,0.02
6821,6821,pietoolbelt-0.3.26,12,4.20E-05,0.00046,156,7.285402219,2,4.5,0.847114706,H,T,T,0.02
