Id,Label,Degree,Pageranks,Eigencentrality,Package,FinalRiskScore,In_reach,Agg_RS,Agg_RS20,Agg_RS30,Agg_RS50,Agg_vs_RS,Agg_RS20_vs_RS,Agg_RS30_vs_RS,Agg_RS50_vs_RS,Ag_vs_RS_ratio
12111,pep8-naming-0.12.1,3,3.70E-05,0.00048,pep -naming,0.747201585,9,6.827750197,6.827750197,6.827750197,6.827750197,9.137761929,9.137761929,9.137761929,9.137761929,9.137761929
10028,warlock-1.3.3,4,3.80E-05,0.0005,warlock,0.690986871,9,6.318123841,6.318123841,6.318123841,5.917155019,9.143623571,9.143623571,9.143623571,8.563339287,9.143623571
5867,pyecharts-2.0.3,4,4.50E-05,0.00046,pyecharts,0.74429607,9,6.817146173,6.817146173,6.817146173,6.817146173,9.159186039,9.159186039,9.159186039,9.159186039,9.159186039
10786,biopandas-0.4.1,4,4.20E-05,0.00046,biopandas,0.785720257,13,7.199170533,7.199170533,5.894700998,5.493732176,9.162511045,9.162511045,7.502289709,6.991969632,9.162511045
9081,hello-world-ericjaychi22-0.0.4,2,3.50E-05,0,hello-world-ericjaychi,0.847651993,12,7.774212649,7.774212649,7.774212649,7.774212649,9.171467434,9.171467434,9.171467434,9.171467434,9.171467434
11276,aaransia-1.1,3,3.50E-05,0,aaransia,0.826504761,13,7.581291961,7.581291961,6.276822426,6.276822426,9.172714204,9.172714204,7.594417748,7.594417748,9.172714204
10017,abalone-boai-1.0.0,2,3.50E-05,0,abalone-boai,0.684200311,9,6.279051193,6.279051193,6.279051193,5.878082371,9.177211837,9.177211837,9.177211837,8.591171732,9.177211837
11379,nbformat-5.3.0,9,5.30E-05,0.00256,nbformat,0.671641247,9,6.167587251,6.167587251,6.167587251,6.167587251,9.182859568,9.182859568,9.182859568,9.182859568,9.182859568
5638,hope-of-ropes-0.2.8,3,3.50E-05,0,hope-of-ropes,0.685183084,9,6.30513182,6.30513182,6.30513182,5.864265507,9.202112497,9.202112497,9.202112497,8.558684013,9.202112497
5631,enrich-1.2.7,3,4.60E-05,0.00091,enrich,0.668185172,9,6.148772008,6.148772008,6.148772008,6.148772008,9.202197633,9.202197633,9.202197633,9.202197633,9.202197633
10973,hydra-submitit-launcher-1.2.0,2,3.50E-05,0,hydra-submitit-launcher,0.638695643,9,5.880002501,5.880002501,5.880002501,5.880002501,9.206266812,9.206266812,9.206266812,9.206266812,9.206266812
5734,hreports-0.2.1,3,3.50E-05,0,hreports,0.674577257,8,6.211535479,6.211535479,6.211535479,6.211535479,9.208041651,9.208041651,9.208041651,9.208041651,9.208041651
10331,ptpdb-0.17,3,5.60E-05,0.00048,ptpdb,0.693522032,9,6.388298668,6.388298668,6.388298668,6.388298668,9.211385325,9.211385325,9.211385325,9.211385325,9.211385325
6892,hypothesis-graphql-0.10.0,2,3.50E-05,0,hypothesis-graphql,0.819689476,12,7.551653874,7.551653874,7.290759967,6.811777272,9.212822776,9.212822776,8.894538945,8.310192422,9.212822776
12325,heidelberg-subtyping-0.5.0,3,3.50E-05,0,heidelberg-subtyping,0.832374088,13,7.672401668,7.672401668,6.367932133,6.367932133,9.217492205,9.217492205,7.650324806,7.650324806,9.217492205
13402,graphite-query-0.11.3,4,3.50E-05,0,graphite-query,0.581618725,8,5.369429387,5.369429387,5.369429387,5.369429387,9.231871596,9.231871596,9.231871596,9.231871596,9.231871596
2290,rlp-2.0.1,7,6.00E-05,0.00256,rlp,0.756683995,10,6.986495332,6.986495332,6.986495332,6.986495332,9.233042298,9.233042298,9.233042298,9.233042298,9.233042298
9807,gluegun-1.0.6,3,3.50E-05,0,gluegun,0.81222724,13,7.500770473,7.500770473,6.196300938,6.196300938,9.234817676,9.234817676,7.628777555,7.628777555,9.234817676
3572,gpy-1.10.0,13,7.00E-05,0.00368,gpy,0.590372152,13,5.452526293,5.452526293,3.626268944,2.884784472,9.235744394,9.235744394,6.142344167,4.886383042,9.235744394
9434,hdfwriter-0.1.4,2,3.50E-05,0,hdfwriter,0.69581358,11,6.428265155,6.428265155,5.906477341,5.502570522,9.238487635,9.238487635,8.488591644,7.908110276,9.238487635
6407,hawkrest-1.0.1,2,3.50E-05,0,hawkrest,0.794102708,11,7.347724583,7.347724583,7.347724583,7.347724583,9.252864282,9.252864282,9.252864282,9.252864282,9.252864282
9310,serrano-2.3.14,4,6.50E-05,0.00046,serrano,0.721620345,9,6.68177225,6.68177225,6.68177225,6.68177225,9.259401147,9.259401147,9.259401147,9.259401147,9.259401147
11584,dataset-1.6.0,5,4.70E-05,0.00091,dataset,0.724958615,12,6.725948291,6.725948291,5.831136735,5.831136735,9.277699653,9.277699653,8.043406361,8.043406361,9.277699653
5487,hotspell-0.1.3,2,3.50E-05,0,hotspell,0.726122596,12,6.73860405,6.73860405,5.434134515,5.434134515,9.28025665,9.28025665,7.48377002,7.48377002,9.28025665
9325,hypothesis-asn1-0.0.1,2,3.50E-05,0,hypothesis-asn,0.831834306,12,7.729143549,7.729143549,7.468249642,6.989266947,9.291686449,9.291686449,8.97804958,8.402234552,9.291686449
2911,requests-2.24.0,16,0.000114,0.00414,requests,0.515598341,8,4.802942821,4.802942821,4.802942821,4.802942821,9.31527982,9.31527982,9.31527982,9.31527982,9.31527982
12851,graph-diff-0.1.1,4,3.50E-05,0,graph-diff,0.83656824,11,7.794185212,7.794185212,7.533291305,7.533291305,9.316855266,9.316855266,9.004993191,9.004993191,9.316855266
3023,defcon-0.10.2,4,5.60E-05,0.00094,defcon,0.758007171,11,7.062573303,7.062573303,6.796044281,6.395075459,9.317290882,9.317290882,8.965672808,8.436695197,9.317290882
10333,ptpython-0.33,5,5.90E-05,0.00048,ptpython,0.610873286,8,5.694776636,5.694776636,5.694776636,5.694776636,9.322353369,9.322353369,9.322353369,9.322353369,9.322353369
13480,horovod-0.27.0,5,3.50E-05,0,horovod,0.555427699,8,5.178574985,5.178574985,5.178574985,5.178574985,9.323580719,9.323580719,9.323580719,9.323580719,9.323580719
1112,hs2client-0.1.1,4,3.50E-05,0,hs client,0.695072257,9,6.483231635,6.483231635,6.483231635,6.483231635,9.327421099,9.327421099,9.327421099,9.327421099,9.327421099
