Package,Overall,FinalRiskScore,Score
smmap,4.11,0.699797355,85
cython,4.11,0.403906819,96
executing,4.11,0.646274343,82
webcolors,4.11,0.729905337,79
imbalanced-learn,4.11,0.582927621,85
apispec,4.11,0.71020202,89
resolvelib,4.11,0.762762755,83
injector,4.11,0.755092915,88
discord-py,4.11,0.497976846,91
stone,4.11,0.660629153,65
discord,4.11,0.518287016,91
asyncstdlib,4.11,0.663298525,75
bleak,4.11,0.72367936,88
pyecharts,4.11,0.74429607,85
python-binance,4.11,0.560074237,85
httptools,4.08,0.765845585,91
nbclient,4.08,0.61126791,92
pyhcl,4.08,0.652067026,85
fiona,4.08,0.785023155,93
gensim,4.08,0.671641247,94
python-socketio,4.08,0.721468629,88
mkdocs-material-extensions,4.08,0.699629291,76
importlab,4.08,0.783656528,68
httpie,4.08,0.690928893,80
django-object-actions,4.08,0.620393723,82
aioquic,4.08,0.607737089,80
hsluv,4.08,0.671641247,79
corner,4.08,0.885047731,77
parso,4.05,0.878820797,80
requests-mock,4.05,0.742750299,77
cytoolz,4.05,0.895231857,83
packageurl-python,4.05,0.64237809,83
glom,4.05,0.767553483,78
napari,4.05,0.668339092,81
jmespath,4.03,0.751241116,82
googleapis-common-protos,4.03,0.763115661,91
tenacity,4.03,0.650759763,91
typing-inspect,4.03,0.692557797,83
slack-sdk,4.03,0.600411706,97
slackclient,4.03,0.600329624,90
partd,4.03,0.759813236,91
dateparser,4.03,0.706639878,89
click-option-group,4.03,0.786570262,76
soundfile,4.03,0.6792456,77
autograd,4.03,0.597618855,80
sql-metadata,4.03,0.697039057,85
pandera,4.03,0.714701295,88
flask-talisman,4.03,0.75829117,83
panel,4.03,0.53463589,97
hdbscan,4.03,0.723331353,91
pip-licenses,4.03,0.622730875,85
mkdocs-autorefs,4.03,0.684212959,83
holoviews,4.03,0.663949667,88
zope-sqlalchemy,4.03,0.677676974,81
watchdog,4.0,0.594156137,93
terminado,4.0,0.670111047,82
pyspnego,4.0,0.662242514,80
google-cloud-translate,4.0,0.726369484,90
zopfli,4.0,0.703968313,76
tweepy,4.0,0.58138464,85
y-py,4.0,0.708342595,82
google-cloud-dataflow-client,4.0,0.793617954,82
testtools,4.0,0.758420375,74
ruptures,4.0,0.749144012,79
textstat,4.0,0.672710136,64
pyotp,3.97,0.746889899,88
pytest-html,3.97,0.738219697,91
pyinstaller,3.97,0.477930654,94
cheroot,3.97,0.579207194,89
papermill,3.97,0.709416663,70
license-expression,3.97,0.624747677,80
flask-restx,3.97,0.572720062,83
nbval,3.97,0.63258141,65
confluent-kafka,3.95,0.708883857,85
jsondiff,3.95,0.797230422,81
watchfiles,3.95,0.673934357,88
cairosvg,3.95,0.606977414,82
blessed,3.95,0.755107973,88
pydash,3.95,0.749393386,88
hydra-core,3.95,0.703524982,89
pytesseract,3.95,0.881957255,60
weasyprint,3.95,0.61670457,85
watchgod,3.95,0.674798123,67
prefect,3.95,0.680404503,94
daphne,3.95,0.72670548,77
