Label,Pageranks
base58-2.1.1,0.0001
robotframework-6.0.2,0.000132
six-1.10.0,0.000116
soundfile-0.12.1,0.000068
tqdm-4.64.0,0.00006
tokenizers-0.13.3,0.000069
fiona-1.9.3,0.000087
python-json-logger-2.0.7,0.000151
attrdict-2.0.1,0.000121
obspy-1.4.0,0.00009
croniter-1.3.14,0.000079
cssmin-0.2.0,0.00007
lightgbm-3.3.5,0.000059
asyncpg-0.27.0,0.000088
ratelimit-2.2.1,0.000091
pathlib2-2.3.7.post1,0.000084
xlwt-1.3.0,0.000074
python-louvain-0.16,0.000055
ipaddress-1.0.23,0.000116
dataclasses-json-0.5.7,0.000103
python-gitlab-3.14.0,0.000093
sentencepiece-0.1.98,0.000061
jsonschema-2.6.0,0.000079
pydicom-2.3.1,0.000136
selenium-3.141.0,0.000134
jsmin-3.0.1,0.000102
pyfiglet-0.8.post1,0.000101
ete3-3.1.2,0.000083
pyjks-20.0.0,0.000065
sphinx-rtd-theme-1.2.0,0.00006
jupyter-core-4.9.2,0.000067
pika-1.3.1,0.00016
filetype-1.2.0,0.000079
datasets-2.11.0,0.000078
hyperopt-0.2.7,0.000076
halo-0.0.31,0.000073
google-3.0.0,0.000073
pyyaml-5.3.1,0.000072
gpy-1.10.0,0.00007
flake8-6.0.0,0.000069
patool-1.12,0.000068
tomli-w-1.0.0,0.000089
flask-2.2.2,0.000099
jupyterlab-3.6.3,0.000126
typer-0.3.2,0.000111
xgboost-1.7.5,0.000062
url-normalize-1.4.3,0.000091
itsdangerous-1.1.0,0.000114
google-resumable-media-2.4.1,0.000092
contextlib2-21.6.0,0.000191
param-1.13.0,0.000201
beautifulsoup4-4.10.0,0.000141
werkzeug-0.16.1,0.000107
cryptography-36.0.2,0.000238
jupyter-server-2.5.0,0.000106
ipykernel-5.3.4,0.000067
decorator-4.4.2,0.000081
trio-websocket-0.10.2,0.000235
jeepney-0.8.0,0.000146
stack-data-0.6.2,0.00008
aiohttp-cors-0.7.0,0.000064
executing-1.2.0,0.000175
websocket-client-0.59.0,0.000112
h11-0.12.0,0.000114
botocore-1.29.113,0.000204
astunparse-1.6.3,0.000105
triton-2.0.0,0.000096
