Id,Label,Degree,Pageranks,Eigencentrality,FinalRiskScore,In_reach,Out_reach,Outgoing Risk (Inreach),Incoming Risk (Outreach)
1028,click-log-0.4.0,11,8.00E-05,0.00423,0.798256024,3,16,2.370407786,11.84445234
5233,hpxml-version-translator-1.0.1,2,3.50E-05,0,0.691320688,4,1,2.366912099,0.691320688
10764,hdlcomposer-0.32,1,3.50E-05,0,0.831779971,3,1,2.36502089,0.831779971
5549,uvicorn-0.18.3,3,4.10E-05,0.00046,0.608885295,3,2,2.36434726,1.440723012
10310,uvicorn-0.20.0,3,3.60E-05,0.00046,0.608885295,3,2,2.36434726,1.269178168
4545,goristock-0.5,1,3.50E-05,0,0.831698103,3,1,2.363832016,0.831698103
11662,hb-1.4.2,2,3.50E-05,0,0.968177121,3,1,2.36241484,0.968177121
1388,preshed-3.0.8,6,5.30E-05,0.00237,0.768399029,3,31,2.361586933,21.47392527
10133,guap-0.1.4,3,3.50E-05,0,0.684147255,4,1,2.361050116,0.684147255
12821,gprof2dot-magic-0.4,2,3.50E-05,0,0.847531614,3,1,2.358661806,0.847531614
1360,parse-type-0.6.0,3,6.20E-05,0.00057,0.831273596,3,11,2.358306654,8.239570993
6543,habiter-0.7.1,2,3.50E-05,0,0.684134662,3,1,2.358269407,0.684134662
11810,homie-helpers-0.0.7,2,3.50E-05,0,0.847601532,3,1,2.357439941,0.847601532
14,python-dateutil-2.8.2,404,0.005547,0.233324,0.838665925,3,2759,2.355484647,2009.605313
1798,python-dateutil-2.8.0,6,5.90E-05,0.0019,0.838665925,3,7,2.355484647,5.263732885
7086,python-dateutil-2.7.5,6,6.60E-05,0.00185,0.838665925,3,5,2.355484647,3.84773844
2018,python-dateutil-2.8.1,4,4.10E-05,0.00091,0.838665925,3,3,2.355484647,2.30966884
2443,coffeescript-2.0.3,2,3.80E-05,0.00048,0.810441853,3,3,2.35488172,2.425564713
742,gym-0.24.1,5,5.50E-05,0.00091,0.678585024,4,3,2.352992043,2.319452833
7342,gym-0.23.1,5,5.50E-05,0.00091,0.678585024,4,3,2.352992043,2.162661907
10181,gym-0.25.2,5,6.60E-05,0.00091,0.678585024,4,3,2.352992043,2.157467434
11426,groupmath-0.2,1,3.50E-05,0,0.831915753,3,1,2.352052433,0.831915753
5859,gmsh-scripts-0.3.4,3,3.50E-05,0,0.836441766,4,1,2.351479279,0.836441766
1681,hardwario-common-1.8.0,4,4.60E-05,0.00096,0.820621987,3,4,2.351065575,3.282408154
10274,hbtile-1.0.1,3,3.50E-05,0,0.695440999,4,1,2.350912721,0.695440999
9716,onnx-1.13.1,10,9.40E-05,0.00333,0.634468486,4,8,2.350875167,5.627366605
2439,glog-0.3.1,2,3.50E-05,0,0.805120391,3,1,2.349928921,0.805120391
4409,glog2-0.0.4,2,3.50E-05,0,0.805120391,3,1,2.349928921,0.805120391
9430,html-linter-0.4.0,2,3.50E-05,0,0.821894304,3,1,2.349487441,0.821894304
6521,hjs-1.1.7,2,3.50E-05,0,0.831582621,3,1,2.349001012,0.831582621
4283,hostproof-auth-0.1.1,1,3.50E-05,0,0.831891533,3,1,2.348936533,0.831891533
6468,permacache-3.6.2,3,4.10E-05,0.00046,0.851092429,3,2,2.347321243,0.851092429
4624,abbrev-1.1.0,1,3.50E-05,0,0.831752193,3,1,2.347020186,0.831752193
1419,homophones-1.0.0,2,3.50E-05,0,0.831913378,3,1,2.344463029,0.831913378
9593,gumshoe-cli-1.1.9,2,3.50E-05,0,0.846843376,3,1,2.342853446,0.846843376
6788,wtforms-3.0.1,14,0.000102,0.00591,0.63113018,3,23,2.342690096,15.90211346
7079,hata-1.3.27,2,3.50E-05,0,0.77051074,3,1,2.341600942,0.77051074
6476,i3-config-builder-0.2,2,3.50E-05,0,0.821007444,3,1,2.340464799,0.821007444
3370,gradesucope-1.9.0,2,3.50E-05,0,0.831760456,3,1,2.340454976,0.831760456
1745,asyncio-nats-streaming-0.4.0,3,4.20E-05,0.00046,0.795143926,3,2,2.340275286,1.62771031
4044,hdate-0.10.4,2,3.50E-05,0,0.915761084,3,1,2.339874094,0.915761084
7090,graham-0.1.11,2,3.50E-05,0,0.836312762,3,1,2.339039847,0.836312762
220,heka-py-0.30.3,5,9.40E-05,0.00137,0.787523068,3,4,2.338384246,3.224707579
5766,hedera-sdk-py-2.22.0,2,4.20E-05,0.00046,0.846671811,3,2,2.338260157,1.518313058
5971,google-reauth-0.1.1,1,3.50E-05,0,0.805126178,3,1,2.338120728,0.805126178
2214,grafter-0.1,2,3.50E-05,0,0.695207544,3,1,2.337425889,0.695207544
6603,homie-0.4.1,2,3.50E-05,0,0.838197162,3,1,2.337230201,0.838197162
891,gitwatch-0.1.0,2,3.50E-05,0,0.968438822,3,1,2.337017062,0.968438822
2239,zope-tales-5.2,6,4.60E-05,0.00158,0.676554593,4,15,2.335507172,10.25999665
3718,protobuf3-to-dict-0.1.5,3,3.60E-05,0.00046,0.779466236,3,2,2.334577294,1.54389119
3705,prettyprinter-0.18.0,3,7.10E-05,0.0005,0.782908367,3,4,2.333960937,2.845435097
4121,h6-0.1.1,2,3.50E-05,0,0.969386084,3,1,2.331368693,0.969386084
5664,js-classy-1.4,3,4.00E-05,0.00046,0.671641247,4,2,2.330786488,1.32901999
5665,js-jquery-3.6.1,3,4.00E-05,0.00046,0.671641247,4,2,2.330786488,1.32901999
5666,js-knockout-3.1.0,3,4.00E-05,0.00046,0.671641247,4,2,2.330786488,1.32901999
10259,hex2file-1.1.1,1,3.50E-05,0,0.832029449,3,1,2.33060373,0.832029449
10018,hermeslib-0.0.3,2,3.50E-05,0,0.832053335,3,1,2.330499974,0.832053335
9999,grades-report-0.0.2,2,3.50E-05,0,0.684147888,3,1,2.329762641,0.684147888
13493,gopy-0.7.3,2,3.50E-05,0,0.831406812,4,1,2.328814292,0.831406812
11441,certvalidator-0.11.1,4,4.90E-05,0.00094,0.804913918,3,4,2.328020789,2.956685084
8625,qtawesome-1.2.3,4,5.30E-05,0.00139,0.880156787,3,5,2.32737267,3.769292195
9668,feedgenerator-1.9.2,3,3.70E-05,0.00046,0.782063726,3,2,2.327263274,1.613335586
4652,glpg-flowmeadow-0.1.6,3,3.50E-05,0,0.69613749,4,1,2.324265512,0.69613749
9449,gpip-0.4.7,3,3.50E-05,0,0.833574541,4,1,2.324061698,0.833574541
10364,abl-vpath-0.10,2,3.50E-05,0,0.785387262,3,1,2.32247511,0.785387262
3545,cssselect2-0.7.0,5,5.60E-05,0.00148,0.875578066,3,10,2.322135199,7.124459593
4113,httpauthproxy-1.0.1,1,3.50E-05,0,0.831739369,3,1,2.319696945,0.831739369
10093,htexpr-0.1.2,2,3.50E-05,0,0.667607219,4,1,2.319680681,0.667607219
1714,furl-2.1.3,16,9.70E-05,0.0064,0.77057405,3,15,2.318809706,11.62282758
9939,zeroseg-improved-0.3,3,6.50E-05,0.00046,0.731748919,3,2,2.317995476,1.563553405
1094,hoa-utils-0.1.0,2,3.50E-05,0,0.820786028,3,1,2.31769239,0.820786028
4692,happy-couple-0.1.1,3,3.50E-05,0,0.832037359,5,1,2.31761087,0.832037359
4085,polliwog-1.0.0b10,6,5.30E-05,0.00142,0.671641247,4,4,2.316662071,2.691029471
3502,polliwog-3.0.0a8,4,4.20E-05,0.00048,0.671641247,4,3,2.316662071,2.005660291
9344,hedera-proto-0.21.0,2,3.50E-05,0,0.84764479,3,1,2.315987734,0.84764479
12647,hcs-grpc-client-0.20.0,2,3.50E-05,0,0.847579684,3,1,2.315922628,0.847579684
20,packaging-21.3,32,0.00089,0.035557,0.593759389,4,1400,2.313570331,1037.206574
4055,ladybug-core-0.41.19,4,0.00014,0.00107,0.753861003,3,10,2.313469739,7.706077418
1167,ladybug-core-0.37.4,3,4.70E-05,0.00048,0.753861003,3,4,2.313469739,3.038266526
12906,hsdecks-0.6.0,2,3.50E-05,0,0.833073099,3,1,2.313014388,0.833073099
379,tifffile-2023.4.12,27,0.000151,0.01109,0.745554601,7,97,2.310918043,71.75047817
3279,prioq-0.6.0,6,6.70E-05,0.00196,0.831477952,3,7,2.310379674,5.727542006
3278,dendroid-1.6.1,7,7.10E-05,0.00242,0.831145447,3,7,2.310047169,5.727209501
10512,happychat-0.0.1,2,3.50E-05,0,0.862915961,3,1,2.309645596,0.862915961
3639,astroid-2.6.6,4,5.50E-05,0.00052,0.515121592,4,5,2.308939202,3.282098124
13021,astroid-2.11.7,5,4.10E-05,0.00094,0.515121592,4,3,2.308939202,1.604656528
12380,gocats-1.1.7,2,3.50E-05,0,0.811921809,3,1,2.308571559,0.811921809
6618,property-manager-3.0,3,4.10E-05,0.00048,0.820810241,3,3,2.308467946,2.162019481
3363,grymt-1.5,2,3.50E-05,0,0.832715929,3,1,2.306923291,0.832715929
354,jsonlines-3.1.0,7,5.60E-05,0.00238,0.651731411,3,14,2.306823663,9.868380093
8744,shiv-1.0.3,4,6.50E-05,0.00046,0.671364351,4,2,2.30448292,1.491862886
6609,hermod-0.1.0,2,3.50E-05,0,0.831824055,4,1,2.303541319,0.831824055
12489,bolton-logrus-0.1.0,4,4.30E-05,0.00094,0.831841863,3,3,2.303396034,2.495163103
9145,horn-0.0.2,1,3.50E-05,0,0.711205763,3,1,2.302195235,0.711205763
363,tensorboardx-2.6,8,4.80E-05,0.00242,0.650268131,4,12,2.301623124,8.463026216
13474,hy2glsl-0.0.2,1,3.50E-05,0,0.71039086,3,1,2.301380332,0.71039086
9184,hexdomain-1.0.0,2,3.50E-05,0,0.847624707,3,1,2.299431293,0.847624707
7885,hermes-0.3.0,1,3.50E-05,0,0.847538126,3,1,2.298785462,0.847538126
6410,hermes-chat-0.2.2,1,3.50E-05,0,0.84734163,3,1,2.298588966,0.84734163
1693,hepai-1.0.6,2,3.50E-05,0,0.831785303,3,1,2.297690505,0.831785303
9588,cleo-2.0.1,3,3.70E-05,0.0005,0.882775504,3,4,2.297633586,3.228224557
11555,i2crelay-0.1.0,2,3.50E-05,0,0.820785934,3,1,2.295386129,0.820785934
9548,hoca-2021.9.0,3,3.50E-05,0,0.831725579,4,1,2.29469735,0.831725579
7278,headlight-0.1.14,2,3.50E-05,0,0.831838976,3,1,2.293856672,0.831838976
12701,git-speed-1.1.1,1,3.50E-05,0,0.831627934,3,1,2.293343863,0.831627934
9276,sanitize-ml-labels-1.0.50,3,3.70E-05,0.00048,0.701055513,3,3,2.292332893,2.009392323
6105,hl7-conversion-0.1.1,2,3.50E-05,0,0.831833605,3,1,2.289550733,0.831833605
